Filename,L2_Distance,Cosine_Similarity,Relative_Change
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_12100.cif,9.140892984760285e-07,1.0,3.3159034846005886e-07
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500.cif,3.731257265826571e-06,0.9999999261995489,1.3313578180027562e-06
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_125.cif,8.861754849931458e-07,1.0,3.1148703611193634e-07
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800.cif,7.390499376924708e-07,0.9999999942368436,2.573813519887231e-07
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_2200.cif,7.864123858780658e-07,0.9999999766181406,2.8561898907667816e-07
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_350.cif,9.155872362498485e-07,0.9999999752341174,3.3050283123859007e-07
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_3800.cif,7.634197913830576e-07,1.0,2.8054601317240545e-07
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000.cif,1.0135078127859742e-06,1.0,3.601974481238291e-07
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300.cif,9.201639272760076e-07,0.9999999466329214,3.1697165931804197e-07
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_25.cif,9.282907740271185e-07,1.0,3.1550354948863223e-07
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75.cif,8.92847538125352e-07,0.9999999817218744,3.117912537798435e-07
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600.cif,1.0302479722668068e-06,0.9999999004189168,3.6212621592090074e-07
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200.cif,1.1179936336702667e-06,0.9999999705358258,3.6174805999402876e-07
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T550K_3675.cif,1.1792767509177793e-06,1.0,3.764677456339682e-07
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775.cif,1.6194792351598153e-06,1.0,5.415060691694551e-07
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50.cif,1.0559913334873272e-06,1.0,3.299612220305862e-07
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25.cif,1.1272276196905295e-06,1.0,3.6257144850172245e-07
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375.cif,1.1344519634803873e-06,1.0,3.671898315102291e-07
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125.cif,2.01682587430696e-06,1.0,5.902409785319665e-07
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425.cif,2.016705821006326e-06,0.9999999671360524,6.155118163907129e-07
