FPS_Rank,Filename,MACE_Energy,Min_Distance_At_Selection
1,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125.cif,-8624.158203125,0.0
2,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_2200.cif,-2164.9306640625,0.1775185527004085
3,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775.cif,-4113.9228515625,0.0907424685085285
4,/home/mehuldarak/athena_embeddings_309machine/cifs/Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_125.cif,-2313.7841796875,0.05127279932665562
5,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_25.cif,-2332.855712890625,0.04406436762802952
6,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50.cif,-4453.15185546875,0.04178084286749741
7,/home/mehuldarak/athena_embeddings_309machine/cifs/Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_12100.cif,-2267.311279296875,0.03528096536905134
8,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425.cif,-7905.384765625,0.028498260302483657
9,/home/mehuldarak/athena_embeddings_309machine/cifs/Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800.cif,-2310.443603515625,0.028091369130872984
10,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_350.cif,-2181.477294921875,0.027069925823051313
11,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200.cif,-4380.716796875,0.027069657627201996
12,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75.cif,-2173.703857421875,0.026706287548701243
13,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25.cif,-4119.7666015625,0.026596546021960155
14,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600.cif,-2178.419921875,0.020873369537386745
15,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_3800.cif,-2161.73828125,0.020589801095107486
16,/home/mehuldarak/athena_embeddings_309machine/cifs/Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500.cif,-2275.781982421875,0.020519514745781293
17,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T550K_3675.cif,-4399.4326171875,0.020414002195960814
18,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000.cif,-2287.421630859375,0.020061382502064597
19,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300.cif,-2326.649169921875,0.01864681197762528
20,/eagle/DFTCalculations/mehul/ml/athena/polaris/remaining_slab_md_unfreeze_li/cifs/Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375.cif,-4118.39013671875,0.01804920865618516
